,time,temperature,dew_point,humidity,wind_speed,pressure,precipitation
0,2010-01-01,18.0,14.0,85.0,5.0,29.91,23.0
1,2010-01-02,18.0,16.0,89.0,6.0,29.94,28.8
2,2010-01-03,18.0,14.0,82.0,10.0,29.94,2.5
3,2010-01-04,18.0,13.0,76.0,9.0,29.94,1.7
4,2010-01-05,19.0,12.0,69.0,10.0,29.91,1.3
5,2010-01-06,19.0,11.0,66.0,8.0,29.88,0.7
6,2010-01-07,20.0,11.0,66.0,8.0,29.88,0.5
7,2010-01-08,20.0,12.0,69.0,9.0,29.88,0.4
8,2010-01-09,19.0,13.0,72.0,7.0,29.88,6.4
9,2010-01-10,18.0,13.0,75.0,4.0,29.91,4.2
10,2010-01-11,18.0,10.0,67.0,9.0,29.91,0.3
11,2010-01-12,19.0,7.0,52.0,11.0,29.91,0.0
12,2010-01-13,19.0,7.0,52.0,12.0,29.91,0.0
13,2010-01-14,19.0,7.0,53.0,13.0,29.94,0.0
14,2010-01-15,20.0,10.0,64.0,13.0,29.94,0.0
15,2010-01-16,20.0,10.0,62.0,11.0,30.0,0.0
16,2010-01-17,20.0,9.0,60.0,13.0,30.0,0.0
17,2010-01-18,20.0,8.0,56.0,14.0,29.97,0.0
18,2010-01-19,21.0,9.0,59.0,13.0,29.94,0.0
19,2010-01-20,21.0,10.0,61.0,13.0,29.91,0.0
20,2010-01-21,20.0,9.0,62.0,12.0,29.94,0.0
21,2010-01-22,20.0,7.0,56.0,10.0,29.94,0.0
22,2010-01-23,20.0,8.0,58.0,12.0,29.91,0.0
23,2010-01-24,20.0,8.0,55.0,15.0,29.88,0.0
24,2010-01-25,20.0,6.0,53.0,14.0,29.88,0.0
25,2010-01-26,20.0,4.0,48.0,14.0,29.88,0.0
26,2010-01-27,20.0,5.0,47.0,13.0,29.91,0.0
27,2010-01-28,20.0,4.0,42.0,14.0,29.91,0.0
28,2010-01-29,21.0,8.0,51.0,13.0,29.88,0.0
29,2010-01-30,21.0,7.0,52.0,12.0,29.94,0.0
30,2010-01-31,22.0,8.0,52.0,15.0,29.94,0.0
31,2010-02-01,22.0,8.0,53.0,13.0,29.91,0.0
