time,temperature,dew_point,humidity,wind_speed,pressure,precipitation,temperature_raw,dew_point_raw,humidity_raw,wind_speed_raw,pressure_raw,precipitation_raw
2010-01-01,32.0,16.0,43.0,5.0,29.8,1.6,32 | 89.6,16 | 60.8,43,5 | 3.11,29.8 | 1009,1.6 | 0.06
2010-01-02,31.0,15.0,41.0,11.0,29.83,0.6,31 | 87.8,15 | 59.0,41,11 | 6.84,29.83 | 1010,0.6 | 0.02
2010-01-03,31.0,11.0,33.0,12.0,29.85,0.0,31 | 87.8,11 | 51.8,33,12 | 7.46,29.85 | 1011,0.0 | 0.0
2010-01-04,30.0,7.0,27.0,11.0,29.85,0.0,30 | 86.0,7 | 44.6,27,11 | 6.84,29.85 | 1011,0.0 | 0.0
2010-01-05,30.0,9.0,31.0,8.0,29.83,0.0,30 | 86.0,9 | 48.2,31,8 | 4.97,29.83 | 1010,0.0 | 0.0
2010-01-06,31.0,13.0,37.0,7.0,29.8,0.0,31 | 87.8,13 | 55.4,37,7 | 4.35,29.8 | 1009,0.0 | 0.0
2010-01-07,31.0,13.0,37.0,10.0,29.77,0.0,31 | 87.8,13 | 55.4,37,10 | 6.21,29.77 | 1008,0.0 | 0.0
2010-01-08,30.0,11.0,35.0,10.0,29.83,0.0,30 | 86.0,11 | 51.8,35,10 | 6.21,29.83 | 1010,0.0 | 0.0
2010-01-09,30.0,8.0,29.0,12.0,29.83,0.0,30 | 86.0,8 | 46.4,29,12 | 7.46,29.83 | 1010,0.0 | 0.0
2010-01-10,30.0,6.0,26.0,13.0,29.83,0.0,30 | 86.0,6 | 42.8,26,13 | 8.08,29.83 | 1010,0.0 | 0.0
2010-01-11,29.0,-3.0,15.0,13.0,29.85,0.0,29 | 84.2,-3 | 26.6,15,13 | 8.08,29.85 | 1011,0.0 | 0.0
2010-01-12,28.0,3.0,23.0,14.0,29.88,0.0,28 | 82.4,3 | 37.4,23,14 | 8.7,29.88 | 1012,0.0 | 0.0
2010-01-13,29.0,7.0,29.0,11.0,29.88,0.0,29 | 84.2,7 | 44.6,29,11 | 6.84,29.88 | 1012,0.0 | 0.0
2010-01-14,30.0,12.0,37.0,9.0,29.88,0.0,30 | 86.0,12 | 53.6,37,9 | 5.59,29.88 | 1012,0.0 | 0.0
2010-01-15,31.0,14.0,42.0,9.0,29.88,0.0,31 | 87.8,14 | 57.2,42,9 | 5.59,29.88 | 1012,0.0 | 0.0
2010-01-16,30.0,15.0,44.0,10.0,29.94,0.0,30 | 86.0,15 | 59.0,44,10 | 6.21,29.94 | 1014,0.0 | 0.0
2010-01-17,31.0,11.0,35.0,10.0,29.94,0.0,31 | 87.8,11 | 51.8,35,10 | 6.21,29.94 | 1014,0.0 | 0.0
2010-01-18,31.0,11.0,34.0,10.0,29.91,0.0,31 | 87.8,11 | 51.8,34,10 | 6.21,29.91 | 1013,0.0 | 0.0
2010-01-19,31.0,14.0,41.0,8.0,29.85,0.0,31 | 87.8,14 | 57.2,41,8 | 4.97,29.85 | 1011,0.0 | 0.0
2010-01-20,31.0,16.0,42.0,11.0,29.85,0.0,31 | 87.8,16 | 60.8,42,11 | 6.84,29.85 | 1011,0.0 | 0.0
2010-01-21,32.0,15.0,40.0,11.0,29.85,0.0,32 | 89.6,15 | 59.0,40,11 | 6.84,29.85 | 1011,0.0 | 0.0
2010-01-22,31.0,16.0,44.0,11.0,29.85,0.0,31 | 87.8,16 | 60.8,44,11 | 6.84,29.85 | 1011,0.0 | 0.0
2010-01-23,31.0,14.0,45.0,10.0,29.85,0.1,31 | 87.8,14 | 57.2,45,10 | 6.21,29.85 | 1011,0.1 | 0.0
2010-01-24,31.0,11.0,35.0,11.0,29.83,0.0,31 | 87.8,11 | 51.8,35,11 | 6.84,29.83 | 1010,0.0 | 0.0
2010-01-25,30.0,10.0,34.0,11.0,29.83,0.0,30 | 86.0,10 | 50.0,34,11 | 6.84,29.83 | 1010,0.0 | 0.0
2010-01-26,30.0,10.0,33.0,11.0,29.83,0.0,30 | 86.0,10 | 50.0,33,11 | 6.84,29.83 | 1010,0.0 | 0.0
2010-01-27,30.0,10.0,34.0,10.0,29.83,0.0,30 | 86.0,10 | 50.0,34,10 | 6.21,29.83 | 1010,0.0 | 0.0
2010-01-28,31.0,10.0,34.0,10.0,29.83,0.0,31 | 87.8,10 | 50.0,34,10 | 6.21,29.83 | 1010,0.0 | 0.0
2010-01-29,31.0,9.0,31.0,12.0,29.83,0.0,31 | 87.8,9 | 48.2,31,12 | 7.46,29.83 | 1010,0.0 | 0.0
2010-01-30,31.0,11.0,34.0,11.0,29.85,0.0,31 | 87.8,11 | 51.8,34,11 | 6.84,29.85 | 1011,0.0 | 0.0
2010-01-31,32.0,12.0,36.0,11.0,29.88,0.0,32 | 89.6,12 | 53.6,36,11 | 6.84,29.88 | 1012,0.0 | 0.0
