time,month,year,temperature,dew_point,humidity,wind_speed,pressure,precipitation,temperature_raw,dew_point_raw,humidity_raw,wind_speed_raw,pressure_raw,precipitation_raw
2010-01-01,January,2010,18.0,14.0,85.0,5.0,29.91,23.0,18 | 64.4,14 | 57.2,85,5 | 3.11,29.91 | 1013,23.0 | 0.91
2010-01-02,January,2010,18.0,16.0,89.0,6.0,29.94,28.8,18 | 64.4,16 | 60.8,89,6 | 3.73,29.94 | 1014,28.8 | 1.13
2010-01-03,January,2010,18.0,14.0,82.0,10.0,29.94,2.5,18 | 64.4,14 | 57.2,82,10 | 6.21,29.94 | 1014,2.5 | 0.1
2010-01-04,January,2010,18.0,13.0,76.0,9.0,29.94,1.7,18 | 64.4,13 | 55.4,76,9 | 5.59,29.94 | 1014,1.7 | 0.07
2010-01-05,January,2010,19.0,12.0,69.0,10.0,29.91,1.3,19 | 66.2,12 | 53.6,69,10 | 6.21,29.91 | 1013,1.3 | 0.05
2010-01-06,January,2010,19.0,11.0,66.0,8.0,29.88,0.7,19 | 66.2,11 | 51.8,66,8 | 4.97,29.88 | 1012,0.7 | 0.03
2010-01-07,January,2010,20.0,11.0,66.0,8.0,29.88,0.5,20 | 68.0,11 | 51.8,66,8 | 4.97,29.88 | 1012,0.5 | 0.02
2010-01-08,January,2010,20.0,12.0,69.0,9.0,29.88,0.4,20 | 68.0,12 | 53.6,69,9 | 5.59,29.88 | 1012,0.4 | 0.02
2010-01-09,January,2010,19.0,13.0,72.0,7.0,29.88,6.4,19 | 66.2,13 | 55.4,72,7 | 4.35,29.88 | 1012,6.4 | 0.25
2010-01-10,January,2010,18.0,13.0,75.0,4.0,29.91,4.2,18 | 64.4,13 | 55.4,75,4 | 2.49,29.91 | 1013,4.2 | 0.17
2010-01-11,January,2010,18.0,10.0,67.0,9.0,29.91,0.3,18 | 64.4,10 | 50.0,67,9 | 5.59,29.91 | 1013,0.3 | 0.01
2010-01-12,January,2010,19.0,7.0,52.0,11.0,29.91,0.0,19 | 66.2,7 | 44.6,52,11 | 6.84,29.91 | 1013,0.0 | 0.0
